COUNTA of City,Year,,,,,,,,,,
City,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Grand Total
Anaheim,4.55%,,8.70%,,,2.70%,,3.23%,,,1.73%
Atlanta,,,4.35%,,,,,,3.57%,,0.69%
Atlantic City,,4.35%,,,,,,3.23%,,,0.69%
Austin,,4.35%,,,,2.70%,3.03%,,,,1.04%
Boise,,4.35%,,,,,,,,,0.35%
Boston,,4.35%,4.35%,,,,3.03%,,,,1.04%
Buffalo,4.55%,,,,,,,,,,0.35%
Charlotte,,4.35%,,,,,3.03%,,,,0.69%
Chicago,,4.35%,4.35%,,,,,,3.57%,,1.04%
Columbus,,,,2.94%,,2.70%,,,,,0.69%
Dallas,4.55%,4.35%,,,,2.70%,,,,,1.04%
Denver,4.55%,4.35%,,,,,,3.23%,,,1.04%
Des Moines,,,,,,,,,3.57%,,0.35%
Detroit,4.55%,,,,,,,,,,0.35%
Elmont,,,,,,2.70%,,,,,0.35%
Fresno,4.55%,,,,,,,,,,0.35%
Glendale,,4.35%,,,2.56%,,,,,,0.69%
Greenville,,,4.35%,,,,,,,,0.35%
Houston,4.55%,,,2.94%,5.13%,2.70%,,,,5.26%,2.08%
Inglewood,,4.35%,,,,,,,3.57%,,0.69%
Jacksonville,,,,8.82%,2.56%,2.70%,3.03%,,,,2.08%
Kansas City,4.55%,,,,,,3.03%,,3.57%,,1.04%
Las Vegas,27.27%,21.74%,13.04%,67.65%,87.18%,67.57%,66.67%,67.74%,57.14%,63.16%,57.79%
Lincoln,,4.35%,,2.94%,,,,,,,0.69%
Los Angeles,,4.35%,,,,,,,,,0.35%
Louisville,,,,,,,,3.23%,,,0.35%
Miami,,,,,,,3.03%,3.23%,3.57%,5.26%,1.38%
Milwaukee,,4.35%,,,,,,,,,0.35%
Minneapolis,,,4.35%,,,,,,,,0.35%
Nashville,4.55%,,4.35%,,,,3.03%,,3.57%,,1.38%
New Orleans,,,,,,,,,3.57%,,0.35%
New York City,9.09%,8.70%,8.70%,,2.56%,2.70%,3.03%,3.23%,3.57%,,3.81%
Newark,,,4.35%,,,,3.03%,3.23%,3.57%,5.26%,1.73%
Norfolk,4.55%,,,2.94%,,,,,,,0.69%
Oklahoma City,4.55%,,,2.94%,,,,,,5.26%,1.04%
Orlando,,4.35%,,,,2.70%,,,,,0.69%
Philadelphia,,,4.35%,,,,,,,5.26%,0.69%
Phoenix,4.55%,,4.35%,,,2.70%,,,,,1.04%
Pittsburgh,4.55%,,,,,,,,,,0.35%
Portland,,,,2.94%,,,,,,,0.35%
Raleigh,,,,2.94%,,,,,,,0.35%
Rio Rancho,,,,2.94%,,,,,,,0.35%
Rochester,,,4.35%,,,,,,,,0.35%
Sacramento,,,4.35%,,,,,,,,0.35%
Salt Lake City,,,,,,2.70%,3.03%,3.23%,,,1.04%
San Antonio,,,4.35%,,,,3.03%,,3.57%,,1.04%
San Diego,,,,,,2.70%,,,,,0.35%
Seattle,,,,,,,,,3.57%,5.26%,0.69%
St. Louis,,4.35%,,,,,,3.23%,,,0.69%
Sunrise,,,4.35%,,,,,,,,0.35%
Tampa,,,4.35%,,,,,3.23%,,,0.69%
Uniondale,4.55%,,,,,,,,,,0.35%
Utica,,4.35%,,,,,,,,,0.35%
Washington,,,4.35%,,,,,,,5.26%,0.69%
Wichita,,,4.35%,,,,,,,,0.35%
Grand Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,
,,,,,,,,,,,
,Year,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Grand Total
COUNTUNIQUE of City,16,18,19,10,5,13,12,11,13,8,55
,,,,,,,,,,,
,,,,,,,,,,,
Apex,0,0,21,31,21,17,17,12,9,128,
Non-Apex,39,43,25,12,21,26,25,30,21,242,
Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,,
Apex %,0,0,45.65217391,72.09302326,50,39.53488372,40.47619048,28.57142857,30,34.59459459,
Non-Apex %,100,100,54.34782609,27.90697674,50,60.46511628,59.52380952,71.42857143,70,65.40540541,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
COUNTA of City,Year,,,,,,,,,,
City,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Grand Total
Anaheim,4.55%,,8.70%,,,2.70%,,3.23%,,,1.73%
Atlanta,,,4.35%,,,,,,3.57%,,0.69%
Atlantic City,,4.35%,,,,,,3.23%,,,0.69%
Austin,,4.35%,,,,2.70%,3.03%,,,,1.04%
Boise,,4.35%,,,,,,,,,0.35%
Boston,,4.35%,4.35%,,,,3.03%,,,,1.04%
Buffalo,4.55%,,,,,,,,,,0.35%
Charlotte,,4.35%,,,,,3.03%,,,,0.69%
Chicago,,4.35%,4.35%,,,,,,3.57%,,1.04%
Columbus,,,,2.94%,,2.70%,,,,,0.69%
Dallas,4.55%,4.35%,,,,2.70%,,,,,1.04%
