Division,Date,Status,Champion,State After Event,End date,Days in state,Controversy ,Controversy Start Date,Controversy End Date,Exact Controversy,,,
WSW,10/12/2017,Active champion,Rose Namajunas,Active,07/04/2018,118,,,,,,,
WSW,07/04/2018,Title defended,Rose Namajunas,Active,11/05/2019,399,,,,,,TRUE,TRUE
WSW,11/05/2019,Title won,Jessica Andrade,Active,31/08/2019,112,,,,,,,
WSW,31/08/2019,Title won,Zhang Weili,Active,24/04/2021,602,,,,,,,
WSW,24/04/2021,Title won,Rose Namajunas,Active,06/11/2021,196,,,,,,,
WSW,06/11/2021,Title defended,Rose Namajunas,Active,07/05/2022,182,,,,,,,
WSW,07/05/2022,Title won,Carla Esparza,Active,12/11/2022,189,,,,,,,
WSW,12/11/2022,Title won,Zhang Weili,Active,19/08/2023,280,,,,,,,
WSW,19/08/2023,Title defended,Zhang Weili,Active,13/04/2024,238,,,,,,,
WSW,13/04/2024,Title defended,Zhang Weili,Active,09/02/2025,302,,,,,,,
WSW,09/02/2025,Title defended,Zhang Weili,Active,28/08/2025,200,,,,,,,
WSW,28/08/2025,Title vacated,,Vacant,25/10/2025,58,1,28/08/2025,25/10/2025,Vacant Title,,,
WSW,25/10/2025,Title won,Mackenzie Dern,Active,29/07/2026,277,,,,,,,
WFLW,01/12/2017,Title won,Nicco Montano,Active,07/09/2018,280,,,,,,,
WFLW,07/09/2018,Title stripped,,Vacant,08/12/2018,92,1,07/09/2018,08/12/2018,Vacant Title,,,
WFLW,08/12/2018,Title won,Valentina Shevchenko,Active,08/06/2019,182,,,,,,,
WFLW,08/06/2019,Title defended,Valentina Shevchenko,Active,10/08/2019,63,,,,,,,
WFLW,10/08/2019,Title defended,Valentina Shevchenko,Active,08/02/2020,182,,,,,,,
WFLW,08/02/2020,Title defended,Valentina Shevchenko,Active,21/11/2020,287,,,,,,,
WFLW,21/11/2020,Title defended,Valentina Shevchenko,Active,24/04/2021,154,,,,,,,
WFLW,24/04/2021,Title defended,Valentina Shevchenko,Active,25/09/2021,154,,,,,,,
WFLW,25/09/2021,Title defended,Valentina Shevchenko,Active,12/06/2022,260,,,,,,,
WFLW,12/06/2022,Title defended,Valentina Shevchenko,Active,04/03/2023,265,,,,,,,
WFLW,04/03/2023,Title won,Alexa Grasso,Active,16/09/2023,196,,,,,,,
WFLW,16/09/2023,Title defended,Alexa Grasso,Active,14/09/2024,364,,,,,,,
WFLW,14/09/2024,Title won,Valentina Shevchenko,Active,10/05/2025,238,,,,,,,
WFLW,10/05/2025,Title defended,Valentina Shevchenko,Active,15/11/2025,189,,,,,,,
WFLW,15/11/2025,Title defended,Valentina Shevchenko,Active,29/07/2026,256,,,,,,,
WBW,10/12/2017,Active champion,Amanda Nunes,Active,12/05/2018,153,,,,,,,
WBW,12/05/2018,Title defended,Amanda Nunes,Active,06/07/2019,420,,,,,,,
WBW,06/07/2019,Title defended,Amanda Nunes,Active,14/12/2019,161,,,,,,,
WBW,14/12/2019,Title defended,Amanda Nunes,Active,11/12/2021,728,,,,,,,
WBW,11/12/2021,Title won,Julianna Pena,Active,30/07/2022,231,,,,,,,
WBW,30/07/2022,Title won,Amanda Nunes,Active,10/06/2023,315,,,,,,,
WBW,10/06/2023,Title defended,Amanda Nunes,Active,20/06/2023,10,,,,,,,
WBW,20/06/2023,Title vacated,,Vacant,20/01/2024,214,1,06/10/2023,20/01/2024,Vacant Title,,,
WBW,20/01/2024,Title won,Raquel Pennington,Active,05/10/2024,259,,,,,,,
WBW,05/10/2024,Title won,Julianna Pena,Active,07/06/2025,245,,,,,,,
WBW,07/06/2025,Title won,Kayla Harrison,Active,29/07/2026,417,,,,,,,
FLW,10/12/2017,Active champion,Demetrius Johnson,Active,04/08/2018,237,,,,,,,
FLW,04/08/2018,Title won,Henry Cejudo,Active,29/02/2020,574,,,,,,,
FLW,29/02/2020,Title vacated,,Vacant,19/07/2020,141,1,20/12/2019,21/11/2020,Vacant Title,,,
FLW,19/07/2020,Title won,Deiveson Figueiredo,Active,21/11/2020,125,,,,,,,
FLW,21/11/2020,Title defended,Deiveson Figueiredo,Active,12/12/2020,21,,,,,,,
FLW,12/12/2020,This defended,Deiveson Figueiredo,Active,12/06/2021,182,,,,,,,
FLW,12/06/2021,Title won,Brandon Moreno,Active,22/01/2022,224,,,,,,,
FLW,22/01/2022,Title won,Deiveson Figueiredo,Active,30/07/2022,189,,,,,,,
FLW,30/07/2022,Interim title won,Brandon Moreno,Active + Interim,21/01/2023,175,,,,,,,
FLW,21/01/2023,Title won,Brandon Moreno,Active,08/07/2023,168,,,,,,,
FLW,08/07/2023,Title won,Alexandre Pantoja,Active,16/12/2023,161,,,,,,,
FLW,16/12/2023,Title defended,Alexandre Pantoja,Active,04/05/2024,140,,,,,,,
FLW,04/05/2024,Title defended,Alexandre Pantoja,Active,07/12/2024,217,,,,,,,
FLW,07/12/2024,Title defended,Alexandre Pantoja,Active,28/06/2025,203,,,,,,,
FLW,28/06/2025,Title defended,Alexandre Pantoja,Active,06/12/2025,161,,,,,,,
FLW,06/12/2025,Title won,Joshua Van,Active,09/05/2025,-211,1,06/12/2025,7/29/2026,Joshua Van won the title after Alexandre Pantoja suffered a freak injury during their fight,,,
FLW,09/05/2025,Title defended,Joshua Van,Active,29/07/2026,446,1,09/05/2025,7/29/2026,Joshua Van won the title after Alexandre Pantoja suffered a freak injury during their fight,,,
BW,10/12/2017,Active champion,T.J. Dillashaw,Active,20/03/2019,465,,,,,,,
BW,20/03/2019,Title stripped,,Vacant,08/06/2019,80,1,20/03/2019,08/06/2019,Vacant Title,,,
BW,08/06/2019,Title won,Henry Cejudo,Active,24/05/2020,351,,,,,,,
BW,24/05/2020,Title vacated,,Vacant,12/07/2020,49,1,05/09/2020,06/03/2021,Vacant Title,,,
BW,12/07/2020,Title won,Petr Yan,Active,06/03/2021,237,,,,,,,
BW,06/03/2021,Title won,Aljamain Sterling,Active,30/10/2021,238,1,06/03/2021,09/04/2022,Aljamain Sterling won the title by DQ ,,,
BW,30/10/2021,Interim title won,Petr Yan,Active + Interim,09/04/2022,161,,,,,,,
BW,09/04/2022,Title defended,Aljamain Sterling,Active,22/10/2022,196,,,,,,,
BW,22/10/2022,Title defended,Aljamain Sterling,Active,06/05/2023,196,,,,,,,
BW,06/05/2023,Title defended,Aljamain Sterling,Active,19/08/2023,105,,,,,,,
BW,19/08/2023,Title won,Sean O'Malley,Active,09/03/2024,203,,,,,,,
BW,09/03/2024,Title defended,Sean O'Malley,Active,14/09/2024,189,1,09/03/2024,14/09/2024,"O'Malley defended the belt against Chito Vera who was, by unanimous consensus, not the no.1 contender. O'Malley then lost his belt against the no.1 contender Merab Dvalishvili in his next fight",,,
BW,14/09/2024,Title won,Merab Dvalishvili,Active,18/01/2025,126,,,,,,,
BW,18/01/2025,Title defended,Merab Dvalishvili,Active,07/06/2025,140,,,,,,,
BW,07/06/2025,Title defended,Merab Dvalishvili,Active,04/10/2025,119,,,,,,,
BW,04/10/2025,Title defended,Merab Dvalishvili,Active,06/12/2025,63,,,,,,,
BW,06/12/2025,Title won,Petr Yan,Active,29/07/2026,235,,,,,,,
FW,10/12/2017,Active champion,Max Holloway,Active,08/12/2018,363,,,,,,,
FW,08/12/2018,Title defended,Max Holloway,Active,27/07/2019,231,,,,,,,
FW,27/07/2019,Title defended,Max Holloway,Active,14/12/2019,140,,,,,,,
FW,14/12/2019,Title won,Alexander Volkanovski,Active,12/07/2020,211,,,,,,,
FW,12/07/2020,Title defended,Alexander Volkanovski,Active,25/09/2021,440,,,,,,,
FW,25/09/2021,Title defended,Alexander Volkanovski,Active,09/04/2022,196,,,,,,,
FW,09/04/2022,Title defended,Alexander Volkanovski,Active,02/07/2022,84,,,,,,,
FW,02/07/2022,Title defended,Alexander Volkanovski,Active,12/02/2023,225,,,,,,,
FW,12/02/2023,Interim title won,Yair Rodriguez,Active + Interim,08/07/2023,146,,,,,,,
FW,08/07/2023,Title defended,Alexander Volkanovski,Active,17/02/2024,224,,,,,,,
FW,17/02/2024,Title won,Ilia Topuria,Active,26/10/2024,252,,,,,,,
FW,26/10/2024,Title defended,Ilia Topuria,Active,19/02/2025,116,,,,,,,
FW,19/02/2025,Title vacated,,Vacant,12/04/2025,52,1,19/02/2025,12/04/2025,Vacant Title,,,
FW,12/04/2025,Title won,Alexander Volkanovski,Active,01/02/2026,295,,,,,,,
FW,01/02/2026,Title defended,Alexander Volkanovski,Active,29/07/2026,178,,,,,,,
LW,10/12/2017,Active champion,Conor McGregor,Active + Interim,10/12/2017,0,1,12/10/2017,07/04/2018,,,,
LW,10/12/2017,Active interim champion,Tony Ferguson,Active + Interim,07/04/2018,118,,,,,,,
LW,07/04/2018,Title vacated,,Active,07/04/2018,0,,,,,,,
LW,07/04/2018,Interim title stripped,,Active,07/04/2018,0,,,,,,,
LW,07/04/2018,Title won,Khabib Nurmagomedov,Active,06/10/2018,182,,,,,,,
LW,06/10/2018,Title defened,Khabib Nurmagomedov,Active,13/04/2019,189,,,,,,,
LW,13/04/2019,Interim title won,Dustin Poirier,Active + Interim,07/09/2019,147,,,,,,,
LW,07/09/2019,Title defened,Khabib Nurmagomedov,Active,09/05/2020,245,,,,,,,
LW,09/05/2020,Interim title won,Justin Gaethje,Active + Interim,24/10/2020,168,,,,,,,
LW,24/10/2020,Title defened,Khabib Nurmagomedov,Active,19/03/2021,146,,,,,,,
LW,19/03/2021,Title vacated,,Vacant,15/05/2021,57,1,24/10/2020,15/05/2021,Vacant Title,,,
LW,15/05/2021,Title won,Charles Oliveira,Active,11/12/2021,210,,,,,,,
LW,11/12/2021,Title defended,Charles Oliveira,Active,07/05/2022,147,,,,,,,
LW,07/05/2022,Ttitle stripped,Charles Oliveira,Vacant,22/10/2022,168,1,07/05/2022,22/10/2022,Vacant Title,,,
LW,22/10/2022,Title won,Islam Makhachev,Active,12/02/2023,113,,,,,,,
LW,12/02/2023,Title defended,Islam Makhachev,Active,21/10/2023,251,,,,,,,
LW,21/10/2023,Title defended,Islam Makhachev,Active,01/06/2024,224,,,,,,,
LW,01/06/2024,Title defended,Islam Makhachev,Active,18/01/2025,231,,,,,,,
LW,18/01/2025,Title defended,Islam Makhachev,Active,13/05/2025,115,,,,,,,
LW,13/05/2025,Title vacated,Islam Makhachev,Vacant,28/06/2025,46,1,13/05/2025,24/01/2026,Vacant Title,,,
LW,28/06/2025,Title won,Ilia Topuria,Active,24/01/2026,210,,,,,,,
LW,24/01/2026,Interim title won,Justin Gaethje,Active + Interim,29/07/2026,186,,,,,,,
LW,14/06/2026,Title won,Justin Gaethje,Active,29/07/2026,45,,,,,,,
WW,10/12/2017,Active champion,Tyron Woodley,Active,09/06/2018,181,,,,,,,
WW,09/06/2018,Interim title won,Colby Covington,Active + Interim,08/09/2018,91,,,,,,,
WW,08/09/2018,Interim title stripped,,Active,08/09/2018,0,,,,,,,
WW,08/09/2018,Title defended,Tyron Woodley,Active,02/03/2019,175,,,,,,,
WW,02/03/2019,Title won,Kamaru Usman,Active,14/12/2019,287,,,,,,,
WW,14/12/2019,Title defended,Kamaru Usman,Active,12/07/2020,211,,,,,,,
WW,12/07/2020,Title defended,Kamaru Usman,Active,13/02/2021,216,,,,,,,
WW,13/02/2021,Title defended,Kamaru Usman,Active,24/04/2021,70,,,,,,,
WW,24/04/2021,Title defended,Kamaru Usman,Active,06/11/2021,196,,,,,,,
WW,06/11/2021,Title defended,Kamaru Usman,Active,20/08/2022,287,,,,,,,
WW,20/08/2022,Title won,Leon Edwards,Active,18/03/2023,210,,,,,,,
WW,18/03/2023,Title defended,Leon Edwards,Active,16/12/2023,273,,,,,,,
WW,16/12/2023,Title defended,Leon Edwards,Active,27/07/2024,224,,,,,,,
WW,27/07/2024,Title won,Belal Muhammad,Active,10/05/2025,287,,,,,,,
WW,10/05/2025,Title won,Jack Della Maddalena,Active,15/11/2025,189,,,,,,,
WW,15/11/2025,Title won,Islam Makhachev,Active,29/07/2026,256,,,,,,,
MW,10/12/2017,Active champion,Robert Whittaker,Active,13/04/2019,489,,,,,,,
MW,13/04/2019,Interim title won,Israel Adesanya,Active + Interim,06/10/2019,176,,,,,,,
MW,06/10/2019,Title won,Israel Adesanya,Active,07/03/2020,153,,,,,,,
MW,07/03/2020,Title defended,Israel Adesanya,Active,27/09/2020,204,,,,,,,
MW,27/09/2020,Title defended,Israel Adesanya,Active,12/06/2021,258,,,,,,,
MW,12/06/2021,Title defended,Israel Adesanya,Active,12/02/2022,245,,,,,,,
MW,12/02/2022,Title defended,Israel Adesanya,Active,02/07/2022,140,,,,,,,
MW,02/07/2022,Title defended,Israel Adesanya,Active,12/11/2022,133,,,,,,,
MW,12/11/2022,Title won,Alex Pereira,Active,08/04/2023,147,,,,,,,
MW,08/04/2023,Title won,Israel Adesanya,Active,10/09/2023,155,,,,,,,
MW,10/09/2023,Title won,Sean Strickland,Active,20/01/2024,132,,,,,,,
MW,20/01/2024,Title won,Dricus Du Plessis,Active,18/08/2024,211,,,,,,,
MW,18/08/2024,Title defended,Dricus Du Plessis,Active,09/02/2025,175,,,,,,,
MW,09/02/2025,Title defended,Dricus Du Plessis,Active,16/08/2025,188,,,,,,,
MW,16/08/2025,Title won,Khamzat Chimaev,Active,09/05/2026,266,,,,,,,
MW,09/05/2026,Title won,Sean Strickland,Active,29/07/2026,81,,,,,,,
LHW,10/12/2017,Active champion,Daniel Cormier,Active,28/12/2018,383,,,,,,,
LHW,28/12/2018,Title vacated,,Vacant,29/12/2018,1,1,28/12/2018,29/12/2018,Vacant Title,,,
LHW,29/12/2018,Title won,Jon Jones,Active,02/03/2019,63,,,,,,,
LHW,02/03/2019,Title defended,Jon Jones,Active,06/07/2019,126,,,,,,,
LHW,06/07/2019,Title defended,Jon Jones,Active,08/02/2020,217,,,,,,,
LHW,08/02/2020,Title defended,Jon Jones,Active,17/08/2020,191,,,,,,,
LHW,17/08/2020,Title vacated,,Vacant,27/09/2020,41,1,17/08/2020,27/09/2020,Vacant Title,,,
LHW,27/09/2020,Title won,Jan Blachowicz,Active,06/03/2021,160,,,,,,,
LHW,06/03/2021,Title defended,Jan Blachowicz,Active,30/10/2021,238,,,,,,,
LHW,30/10/2021,Title won,Glover Teixeira,Active,12/06/2022,225,,,,,,,
LHW,12/06/2022,Title won,Jiri Prochazka,Active,23/11/2022,164,,,,,,,
LHW,23/11/2022,Title vacated,,Vacant,21/01/2023,59,1,23/11/2022,21/01/2023,Vacant Title,,,
LHW,21/01/2023,Title won,Jamahal Hill,Active,14/07/2023,174,1,21/01/2023,14/07/2023,Jamahal Hill's title shot was circumstancial as the former champion - Jiri Prochazka - was injured and the two next in-line - Mahomed Ankalaev and Jan Blachowicz -  drew in their title fight,,,
